city,date,team1,team2,venue,toss_winner,toss_decision,win_by_runs,win_by_wickets,winner
Birmingham,08-06-2013,England,Australia,Edgbaston,England,bat,48,0,England
London,07-06-2013,Pakistan,West Indies,Kennington Oval,West Indies,field,0,2,West Indies
Cardiff,06-06-2013,India,South Africa,Sophia Gardens,South Africa,field,26,0,India
Nottingham,05-06-2013,England,New Zealand,Trent Bridge,New Zealand,field,34,0,England
Southampton,02-06-2013,England,New Zealand,The Rose Bowl,New Zealand,bat,86,0,New Zealand
London,31-05-2013,England,New Zealand,Lord's,New Zealand,field,0,5,New Zealand
Dublin,26-05-2013,Ireland,Pakistan,Clontarf Cricket Club Ground,Pakistan,field,0,2,Pakistan
Dublin,23-05-2013,Ireland,Pakistan,Clontarf Cricket Club Ground,Pakistan,bat,0,0,
Edinburgh,17-05-2013,Scotland,Pakistan,"Grange Cricket Club Ground, Raeburn Place",Pakistan,bat,96,0,Pakistan
Bulawayo,08-05-2013,Zimbabwe,Bangladesh,Queens Sports Club,Zimbabwe,field,0,7,Zimbabwe
Bulawayo,05-05-2013,Zimbabwe,Bangladesh,Queens Sports Club,Zimbabwe,field,0,6,Zimbabwe
Bulawayo,03-05-2013,Zimbabwe,Bangladesh,Queens Sports Club,Zimbabwe,field,121,0,Bangladesh
,28-03-2013,Sri Lanka,Bangladesh,Pallekele International Cricket Stadium,Sri Lanka,bat,0,3,Bangladesh
Hambantota,25-03-2013,Sri Lanka,Bangladesh,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Bangladesh,field,0,0,
Benoni,24-03-2013,South Africa,Pakistan,Willowmoore Park,Pakistan,bat,0,6,South Africa
Hambantota,23-03-2013,Sri Lanka,Bangladesh,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,field,0,8,Sri Lanka
Durban,21-03-2013,South Africa,Pakistan,Kingsmead,South Africa,bat,0,3,Pakistan
Johannesburg,17-03-2013,South Africa,Pakistan,New Wanderers Stadium,Pakistan,field,34,0,South Africa
Centurion,15-03-2013,South Africa,Pakistan,SuperSport Park,South Africa,bat,0,6,Pakistan
Dubai,11-03-2013,Canada,Kenya,ICC Global Cricket Academy,Canada,bat,0,6,Kenya
Bloemfontein,10-03-2013,South Africa,Pakistan,Chevrolet Park,Pakistan,field,125,0,South Africa
Grenada,26-02-2013,West Indies,Zimbabwe,"National Cricket Stadium, St George's",Zimbabwe,bat,0,5,West Indies
Auckland,23-02-2013,New Zealand,England,Eden Park,England,field,0,5,England
Grenada,22-02-2013,West Indies,Zimbabwe,"National Cricket Stadium, St George's",Zimbabwe,field,156,0,West Indies
Napier,20-02-2013,New Zealand,England,McLean Park,England,field,0,8,England
Hamilton,17-02-2013,New Zealand,England,Seddon Park,New Zealand,field,0,3,New Zealand
,10-02-2013,Australia,West Indies,Melbourne Cricket Ground,West Indies,field,17,0,Australia
,08-02-2013,Australia,West Indies,Sydney Cricket Ground,West Indies,bat,0,5,Australia
Canberra,06-02-2013,Australia,West Indies,Manuka Oval,Australia,bat,39,0,Australia
Perth,03-02-2013,Australia,West Indies,Western Australia Cricket Association Ground,West Indies,field,54,0,Australia
Perth,01-02-2013,Australia,West Indies,Western Australia Cricket Association Ground,West Indies,bat,0,9,Australia
Dharamsala,27-01-2013,India,England,Himachal Pradesh Cricket Association Stadium,England,field,0,7,England
Potchefstroom,25-01-2013,South Africa,New Zealand,Senwes Park,New Zealand,bat,0,1,South Africa
Hobart,23-01-2013,Australia,Sri Lanka,Bellerive Oval,Sri Lanka,field,32,0,Australia
Chandigarh,23-01-2013,India,England,"Punjab Cricket Association Stadium, Mohali",India,field,0,5,India
Kimberley,22-01-2013,South Africa,New Zealand,De Beers Diamond Oval,South Africa,field,27,0,New Zealand
,20-01-2013,Australia,Sri Lanka,Sydney Cricket Ground,Australia,bat,0,0,
Paarl,19-01-2013,South Africa,New Zealand,Boland Park,New Zealand,field,0,1,New Zealand
Ranchi,19-01-2013,India,England,JSCA International Stadium Complex,India,field,0,7,India
Brisbane,18-01-2013,Australia,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",Australia,bat,0,4,Sri Lanka
Kochi,15-01-2013,India,England,Nehru Stadium,India,bat,127,0,India
,13-01-2013,Australia,Sri Lanka,Adelaide Oval,Sri Lanka,field,0,8,Sri Lanka
Rajkot,11-01-2013,India,England,Saurashtra Cricket Association Stadium,England,bat,9,0,England
,11-01-2013,Australia,Sri Lanka,Melbourne Cricket Ground,Australia,bat,107,0,Australia
Delhi,06-01-2013,India,Pakistan,Feroz Shah Kotla,India,bat,10,0,India
Kolkata,03-01-2013,India,Pakistan,Eden Gardens,India,field,85,0,Pakistan
Chennai,30-12-2012,India,Pakistan,"MA Chidambaram Stadium, Chepauk",Pakistan,field,0,6,Pakistan
Mirpur,08-12-2012,Bangladesh,West Indies,Shere Bangla National Stadium,Bangladesh,field,0,2,Bangladesh
Mirpur,07-12-2012,Bangladesh,West Indies,Shere Bangla National Stadium,Bangladesh,field,75,0,West Indies
Mirpur,05-12-2012,Bangladesh,West Indies,Shere Bangla National Stadium,West Indies,field,0,4,West Indies
Khulna,02-12-2012,Bangladesh,West Indies,Sheikh Abu Naser Stadium,West Indies,field,160,0,Bangladesh
Khulna,30-11-2012,Bangladesh,West Indies,Sheikh Abu Naser Stadium,West Indies,bat,0,7,Bangladesh
Hambantota,12-11-2012,Sri Lanka,New Zealand,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",New Zealand,field,0,0,
Hambantota,10-11-2012,Sri Lanka,New Zealand,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,field,0,7,Sri Lanka
,06-11-2012,Sri Lanka,New Zealand,Pallekele International Cricket Stadium,Sri Lanka,field,0,7,Sri Lanka
,04-11-2012,Sri Lanka,New Zealand,Pallekele International Cricket Stadium,New Zealand,bat,14,0,Sri Lanka
Nottingham,05-09-2012,England,South Africa,Trent Bridge,England,bat,0,7,South Africa
,03-09-2012,Australia,Pakistan,Sharjah Cricket Stadium,Australia,field,0,3,Australia
London,02-09-2012,England,South Africa,Lord's,England,field,0,6,England
Abu Dhabi,31-08-2012,Australia,Pakistan,Sheikh Zayed Stadium,Australia,bat,0,7,Pakistan
London,31-08-2012,England,South Africa,Kennington Oval,South Africa,bat,0,4,England
,28-08-2012,Australia,Pakistan,Sharjah Cricket Stadium,Pakistan,bat,0,4,Australia
Southampton,28-08-2012,England,South Africa,The Rose Bowl,South Africa,bat,80,0,South Africa
,25-08-2012,Afghanistan,Australia,Sharjah Cricket Association Stadium,Australia,bat,66,0,Australia
Cardiff,24-08-2012,England,South Africa,Sophia Gardens,South Africa,field,0,0,
,04-08-2012,Sri Lanka,India,Pallekele International Cricket Stadium,India,bat,20,0,India
Colombo,31-07-2012,Sri Lanka,India,R Premadasa Stadium,Sri Lanka,bat,0,6,India
Colombo,28-07-2012,Sri Lanka,India,R Premadasa Stadium,Sri Lanka,bat,0,5,India
Hambantota,24-07-2012,Sri Lanka,India,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",India,bat,0,9,Sri Lanka
Hambantota,21-07-2012,Sri Lanka,India,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",India,bat,21,0,India
St Kitts,16-07-2012,West Indies,New Zealand,"Warner Park, Basseterre",West Indies,bat,20,0,West Indies
St Kitts,14-07-2012,West Indies,New Zealand,"Warner Park, Basseterre",West Indies,bat,24,0,West Indies
St Kitts,11-07-2012,West Indies,New Zealand,"Warner Park, Basseterre",West Indies,field,88,0,New Zealand
Manchester,10-07-2012,England,Australia,Old Trafford,England,field,0,7,England
Chester-le-Street,07-07-2012,England,Australia,Riverside Ground,England,field,0,8,England
Jamaica,07-07-2012,West Indies,New Zealand,"Sabina Park, Kingston",New Zealand,field,55,0,West Indies
Jamaica,05-07-2012,West Indies,New Zealand,"Sabina Park, Kingston",West Indies,field,0,9,West Indies
Dublin,05-07-2012,Ireland,Afghanistan,Clontarf Cricket Club Ground,Afghanistan,field,59,0,Ireland
London,01-07-2012,England,Australia,Kennington Oval,Australia,bat,0,6,England
London,29-06-2012,England,Australia,Lord's,Australia,field,15,0,England
Belfast,23-06-2012,Ireland,Australia,"Civil Service Cricket Club, Stormont",Australia,field,0,0,
London,19-06-2012,England,West Indies,Kennington Oval,England,field,0,8,England
Colombo,18-06-2012,Sri Lanka,Pakistan,R Premadasa Stadium,Pakistan,bat,0,2,Sri Lanka
Colombo,16-06-2012,Sri Lanka,Pakistan,R Premadasa Stadium,Sri Lanka,bat,44,0,Sri Lanka
Southampton,16-06-2012,England,West Indies,The Rose Bowl,West Indies,field,114,0,England
Colombo,13-06-2012,Sri Lanka,Pakistan,R Premadasa Stadium,Pakistan,bat,0,0,
,09-06-2012,Sri Lanka,Pakistan,Pallekele International Cricket Stadium,Sri Lanka,bat,76,0,Sri Lanka
,07-06-2012,Sri Lanka,Pakistan,Pallekele International Cricket Stadium,Sri Lanka,bat,0,6,Pakistan
,29-03-2012,Afghanistan,Netherlands,Sharjah Cricket Stadium,Afghanistan,bat,0,9,Netherlands
St Lucia,25-03-2012,West Indies,Australia,"Beausejour Stadium, Gros Islet",West Indies,field,30,0,Australia
St Lucia,23-03-2012,West Indies,Australia,"Beausejour Stadium, Gros Islet",Australia,field,42,0,West Indies
Mirpur,22-03-2012,Bangladesh,Pakistan,Shere Bangla National Stadium,Bangladesh,field,2,0,Pakistan
Mirpur,20-03-2012,Bangladesh,Sri Lanka,Shere Bangla National Stadium,Bangladesh,field,0,5,Bangladesh
St Vincent,20-03-2012,West Indies,Australia,"Arnos Vale Ground, Kingstown",Australia,bat,0,0,
Mirpur,18-03-2012,India,Pakistan,Shere Bangla National Stadium,Pakistan,bat,0,6,India
St Vincent,18-03-2012,West Indies,Australia,"Arnos Vale Ground, Kingstown",West Indies,field,0,5,West Indies
Mirpur,16-03-2012,Bangladesh,India,Shere Bangla National Stadium,Bangladesh,field,0,5,Bangladesh
St Vincent,16-03-2012,West Indies,Australia,"Arnos Vale Ground, Kingstown",Australia,bat,64,0,Australia
Mirpur,15-03-2012,Pakistan,Sri Lanka,Shere Bangla National Stadium,Sri Lanka,bat,0,6,Pakistan
Mirpur,13-03-2012,India,Sri Lanka,Shere Bangla National Stadium,Sri Lanka,field,50,0,India
Mirpur,11-03-2012,Bangladesh,Pakistan,Shere Bangla National Stadium,Bangladesh,field,21,0,Pakistan
,08-03-2012,Australia,Sri Lanka,Adelaide Oval,Sri Lanka,field,16,0,Australia
,06-03-2012,Australia,Sri Lanka,Adelaide Oval,Australia,bat,0,8,Sri Lanka
Brisbane,04-03-2012,Australia,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",Australia,bat,15,0,Australia
Auckland,03-03-2012,New Zealand,South Africa,Eden Park,South Africa,field,0,5,South Africa
,02-03-2012,Australia,Sri Lanka,Melbourne Cricket Ground,Sri Lanka,bat,9,0,Sri Lanka
Napier,29-02-2012,New Zealand,South Africa,McLean Park,South Africa,field,0,6,South Africa
Hobart,28-02-2012,India,Sri Lanka,Bellerive Oval,India,field,0,7,India
,26-02-2012,Australia,India,Sydney Cricket Ground,Australia,bat,87,0,Australia
Wellington,25-02-2012,New Zealand,South Africa,Westpac Stadium,New Zealand,bat,0,6,South Africa
Hobart,24-02-2012,Australia,Sri Lanka,Bellerive Oval,Australia,bat,0,3,Sri Lanka
,21-02-2012,England,Pakistan,Dubai International Cricket Stadium,Pakistan,bat,0,4,England
Brisbane,21-02-2012,India,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",Sri Lanka,bat,51,0,Sri Lanka
,20-02-2012,Kenya,Ireland,Mombasa Sports Club Ground,Ireland,bat,117,0,Ireland
Brisbane,19-02-2012,Australia,India,"Brisbane Cricket Ground, Woolloongabba",Australia,bat,110,0,Australia
,18-02-2012,England,Pakistan,Dubai International Cricket Stadium,Pakistan,bat,0,9,England
,18-02-2012,Kenya,Ireland,Mombasa Sports Club Ground,Ireland,bat,0,7,Kenya
,17-02-2012,Australia,Sri Lanka,Sydney Cricket Ground,Australia,bat,0,8,Sri Lanka
Abu Dhabi,15-02-2012,England,Pakistan,Sheikh Zayed Stadium,England,bat,20,0,England
,14-02-2012,India,Sri Lanka,Adelaide Oval,Sri Lanka,bat,0,0,
Abu Dhabi,13-02-2012,England,Pakistan,Sheikh Zayed Stadium,England,bat,130,0,England
,12-02-2012,Australia,India,Adelaide Oval,Australia,bat,0,4,India
,10-02-2012,Afghanistan,Pakistan,Sharjah Cricket Stadium,Afghanistan,bat,0,7,Pakistan
Perth,10-02-2012,Australia,Sri Lanka,Western Australia Cricket Association Ground,Sri Lanka,field,5,0,Australia
Napier,09-02-2012,New Zealand,Zimbabwe,McLean Park,New Zealand,bat,202,0,New Zealand
Perth,08-02-2012,India,Sri Lanka,Western Australia Cricket Association Ground,Sri Lanka,bat,0,4,India
Whangarei,06-02-2012,New Zealand,Zimbabwe,Cobham Oval (New),Zimbabwe,field,141,0,New Zealand
,05-02-2012,Australia,India,Melbourne Cricket Ground,India,field,65,0,Australia
Dunedin,03-02-2012,New Zealand,Zimbabwe,University Oval,Zimbabwe,field,90,0,New Zealand
Johannesburg,22-01-2012,South Africa,Sri Lanka,New Wanderers Stadium,Sri Lanka,field,0,2,Sri Lanka
Kimberley,20-01-2012,South Africa,Sri Lanka,De Beers Diamond Oval,South Africa,bat,0,5,Sri Lanka
Bloemfontein,17-01-2012,South Africa,Sri Lanka,Chevrolet Park,Sri Lanka,bat,4,0,South Africa
East London,14-01-2012,South Africa,Sri Lanka,Buffalo Park,South Africa,field,0,5,South Africa
Paarl,11-01-2012,South Africa,Sri Lanka,Boland Park,South Africa,bat,258,0,South Africa
Chennai,11-12-2011,India,West Indies,"MA Chidambaram Stadium, Chepauk",India,bat,34,0,India
Indore,08-12-2011,India,West Indies,Holkar Cricket Stadium,India,bat,153,0,India
Chittagong,06-12-2011,Bangladesh,Pakistan,Zahur Ahmed Chowdhury Stadium,Pakistan,bat,58,0,Pakistan
Ahmedabad,05-12-2011,India,West Indies,"Sardar Patel Stadium, Motera",India,field,16,0,West Indies
Mirpur,03-12-2011,Bangladesh,Pakistan,Shere Bangla National Stadium,Pakistan,bat,76,0,Pakistan
Visakhapatnam,02-12-2011,India,West Indies,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,field,0,5,India
Mirpur,01-12-2011,Bangladesh,Pakistan,Shere Bangla National Stadium,Bangladesh,bat,0,5,Pakistan
Cuttack,29-11-2011,India,West Indies,Barabati Stadium,India,field,0,1,India
Abu Dhabi,23-11-2011,Pakistan,Sri Lanka,Sheikh Zayed Stadium,Sri Lanka,bat,0,3,Pakistan
,20-11-2011,Pakistan,Sri Lanka,Sharjah Cricket Stadium,Pakistan,bat,26,0,Pakistan
,18-11-2011,Pakistan,Sri Lanka,Dubai International Cricket Stadium,Pakistan,bat,21,0,Pakistan
,14-11-2011,Pakistan,Sri Lanka,Dubai International Cricket Stadium,Sri Lanka,bat,25,0,Sri Lanka
,11-11-2011,Pakistan,Sri Lanka,Dubai International Cricket Stadium,Sri Lanka,bat,0,8,Pakistan
Durban,28-10-2011,South Africa,Australia,Kingsmead,South Africa,bat,0,3,Australia
Bulawayo,25-10-2011,Zimbabwe,New Zealand,Queens Sports Club,New Zealand,bat,0,1,Zimbabwe
Kolkata,25-10-2011,India,England,Eden Gardens,England,field,95,0,India
Port Elizabeth,23-10-2011,South Africa,Australia,St George's Park,South Africa,bat,80,0,South Africa
Mumbai,23-10-2011,India,England,Wankhede Stadium,England,bat,0,6,India
,22-10-2011,Zimbabwe,New Zealand,Harare Sports Club,New Zealand,field,0,4,New Zealand
,20-10-2011,Zimbabwe,New Zealand,Harare Sports Club,Zimbabwe,bat,0,9,New Zealand
Chandigarh,20-10-2011,India,England,"Punjab Cricket Association Stadium, Mohali",England,bat,0,5,India
Centurion,19-10-2011,South Africa,Australia,SuperSport Park,South Africa,field,93,0,Australia
Chittagong,18-10-2011,Bangladesh,West Indies,Zahur Ahmed Chowdhury Stadium,Bangladesh,field,0,8,Bangladesh
Delhi,17-10-2011,India,England,Feroz Shah Kotla,England,bat,0,8,India
Mirpur,15-10-2011,Bangladesh,West Indies,Shere Bangla National Stadium,Bangladesh,bat,0,8,West Indies
Hyderabad,14-10-2011,India,England,"Rajiv Gandhi International Stadium, Uppal",India,bat,126,0,India
Mirpur,13-10-2011,Bangladesh,West Indies,Shere Bangla National Stadium,Bangladesh,field,40,0,West Indies
Dublin,20-09-2011,Ireland,Canada,Clontarf Cricket Club Ground,Ireland,bat,56,0,Ireland
Dublin,19-09-2011,Ireland,Canada,Clontarf Cricket Club Ground,Canada,field,133,0,Ireland
Cardiff,16-09-2011,England,India,Sophia Gardens,England,field,0,6,England
,14-09-2011,Zimbabwe,Pakistan,Harare Sports Club,Zimbabwe,field,28,0,Pakistan
London,11-09-2011,England,India,Lord's,England,field,0,0,
,11-09-2011,Zimbabwe,Pakistan,Harare Sports Club,Zimbabwe,bat,0,10,Pakistan
London,09-09-2011,England,India,Kennington Oval,England,field,0,3,England
Bulawayo,08-09-2011,Zimbabwe,Pakistan,Queens Sports Club,Pakistan,bat,5,0,Pakistan
Southampton,06-09-2011,England,India,The Rose Bowl,England,field,0,7,England
Chester-le-Street,03-09-2011,England,India,Riverside Ground,England,field,0,0,
Dublin,25-08-2011,Ireland,England,Clontarf Cricket Club Ground,Ireland,field,11,0,England
Colombo,22-08-2011,Sri Lanka,Australia,R Premadasa Stadium,Sri Lanka,field,0,4,Sri Lanka
Bulawayo,21-08-2011,Zimbabwe,Bangladesh,Queens Sports Club,Zimbabwe,field,93,0,Bangladesh
Colombo,20-08-2011,Sri Lanka,Australia,R Premadasa Stadium,Sri Lanka,bat,0,5,Australia
Bulawayo,19-08-2011,Zimbabwe,Bangladesh,Queens Sports Club,Bangladesh,field,0,6,Bangladesh
,16-08-2011,Zimbabwe,Bangladesh,Harare Sports Club,Bangladesh,field,5,0,Zimbabwe
Hambantota,16-08-2011,Sri Lanka,Australia,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Australia,field,78,0,Sri Lanka
,14-08-2011,Zimbabwe,Bangladesh,Harare Sports Club,Zimbabwe,field,0,7,Zimbabwe
Hambantota,14-08-2011,Sri Lanka,Australia,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,bat,0,8,Australia
,12-08-2011,Zimbabwe,Bangladesh,Harare Sports Club,Zimbabwe,field,0,4,Zimbabwe
,10-08-2011,Sri Lanka,Australia,Pallekele International Cricket Stadium,Sri Lanka,bat,0,7,Australia
Manchester,09-07-2011,England,Sri Lanka,Old Trafford,England,bat,16,0,England
Nottingham,06-07-2011,England,Sri Lanka,Trent Bridge,England,field,0,10,England
London,03-07-2011,England,Sri Lanka,Lord's,England,bat,0,6,Sri Lanka
Leeds,01-07-2011,England,Sri Lanka,Headingley,England,field,69,0,Sri Lanka
Aberdeen,29-06-2011,Scotland,Netherlands,Mannofield Park,Scotland,field,0,5,Scotland
London,28-06-2011,England,Sri Lanka,Kennington Oval,Sri Lanka,field,110,0,England
Jamaica,16-06-2011,West Indies,India,"Sabina Park, Kingston",West Indies,field,0,7,West Indies
Antigua,13-06-2011,West Indies,India,"Sir Vivian Richards Stadium, North Sound",India,field,103,0,West Indies
Antigua,11-06-2011,West Indies,India,"Sir Vivian Richards Stadium, North Sound",India,field,0,3,India
Trinidad,08-06-2011,West Indies,India,"Queen's Park Oval, Port of Spain",India,field,0,7,India
Trinidad,06-06-2011,West Indies,India,"Queen's Park Oval, Port of Spain",West Indies,bat,0,4,India
Guyana,05-05-2011,West Indies,Pakistan,Providence Stadium,Pakistan,bat,0,10,West Indies
Barbados,02-05-2011,West Indies,Pakistan,"Kensington Oval, Bridgetown",West Indies,field,1,0,West Indies
Barbados,28-04-2011,West Indies,Pakistan,"Kensington Oval, Bridgetown",Pakistan,field,0,3,Pakistan
St Lucia,25-04-2011,West Indies,Pakistan,"Beausejour Stadium, Gros Islet",Pakistan,field,0,7,Pakistan
St Lucia,23-04-2011,West Indies,Pakistan,"Beausejour Stadium, Gros Islet",West Indies,bat,0,8,Pakistan
Mirpur,13-04-2011,Bangladesh,Australia,Shere Bangla National Stadium,Australia,bat,66,0,Australia
Mirpur,11-04-2011,Bangladesh,Australia,Shere Bangla National Stadium,Bangladesh,bat,0,9,Australia
Mirpur,09-04-2011,Bangladesh,Australia,Shere Bangla National Stadium,Bangladesh,field,60,0,Australia
Mumbai,02-04-2011,India,Sri Lanka,Wankhede Stadium,Sri Lanka,bat,0,6,India
Chandigarh,30-03-2011,India,Pakistan,"Punjab Cricket Association Stadium, Mohali",India,bat,29,0,India
Colombo,29-03-2011,Sri Lanka,New Zealand,R Premadasa Stadium,New Zealand,bat,0,5,Sri Lanka
Colombo,26-03-2011,Sri Lanka,England,R Premadasa Stadium,England,bat,0,10,Sri Lanka
Mirpur,25-03-2011,New Zealand,South Africa,Shere Bangla National Stadium,New Zealand,bat,49,0,New Zealand
Ahmedabad,24-03-2011,India,Australia,"Sardar Patel Stadium, Motera",Australia,bat,0,5,India
Mirpur,23-03-2011,Pakistan,West Indies,Shere Bangla National Stadium,West Indies,bat,0,10,Pakistan
Chennai,20-03-2011,India,West Indies,"MA Chidambaram Stadium, Chepauk",India,bat,80,0,India
Kolkata,20-03-2011,Kenya,Zimbabwe,Eden Gardens,Zimbabwe,bat,161,0,Zimbabwe
Colombo,19-03-2011,Australia,Pakistan,R Premadasa Stadium,Australia,bat,0,4,Pakistan
Mirpur,19-03-2011,Bangladesh,South Africa,Shere Bangla National Stadium,South Africa,bat,206,0,South Africa
Mumbai,18-03-2011,New Zealand,Sri Lanka,Wankhede Stadium,Sri Lanka,bat,112,0,Sri Lanka
Kolkata,18-03-2011,Ireland,Netherlands,Eden Gardens,Ireland,field,0,6,Ireland
Chennai,17-03-2011,England,West Indies,"MA Chidambaram Stadium, Chepauk",England,bat,18,0,England
Bangalore,16-03-2011,Australia,Canada,M Chinnaswamy Stadium,Canada,bat,0,7,Australia
Kolkata,15-03-2011,Ireland,South Africa,Eden Gardens,Ireland,field,131,0,South Africa
,14-03-2011,Pakistan,Zimbabwe,Pallekele International Cricket Stadium,Zimbabwe,bat,0,7,Pakistan
Chittagong,14-03-2011,Bangladesh,Netherlands,Zahur Ahmed Chowdhury Stadium,Netherlands,bat,0,6,Bangladesh
Bangalore,13-03-2011,Australia,Kenya,M Chinnaswamy Stadium,Australia,bat,60,0,Australia
Mumbai,13-03-2011,Canada,New Zealand,Wankhede Stadium,Canada,field,97,0,New Zealand
Nagpur,12-03-2011,India,South Africa,"Vidarbha Cricket Association Stadium, Jamtha",India,bat,0,3,South Africa
Chandigarh,11-03-2011,Ireland,West Indies,"Punjab Cricket Association Stadium, Mohali",Ireland,field,44,0,West Indies
Chittagong,11-03-2011,Bangladesh,England,Zahur Ahmed Chowdhury Stadium,Bangladesh,field,0,2,Bangladesh
,10-03-2011,Sri Lanka,Zimbabwe,Pallekele International Cricket Stadium,Zimbabwe,field,139,0,Sri Lanka
Delhi,09-03-2011,India,Netherlands,Feroz Shah Kotla,Netherlands,bat,0,5,India
,08-03-2011,New Zealand,Pakistan,Pallekele International Cricket Stadium,New Zealand,bat,110,0,New Zealand
Delhi,07-03-2011,Canada,Kenya,Feroz Shah Kotla,Kenya,bat,0,5,Canada
Bangalore,06-03-2011,India,Ireland,M Chinnaswamy Stadium,India,field,0,5,India
Chennai,06-03-2011,England,South Africa,"MA Chidambaram Stadium, Chepauk",England,bat,6,0,England
Colombo,05-03-2011,Sri Lanka,Australia,R Premadasa Stadium,Sri Lanka,bat,0,0,
Ahmedabad,04-03-2011,New Zealand,Zimbabwe,"Sardar Patel Stadium, Motera",Zimbabwe,bat,0,10,New Zealand
Mirpur,04-03-2011,Bangladesh,West Indies,Shere Bangla National Stadium,Bangladesh,bat,0,9,West Indies
Chandigarh,03-03-2011,Netherlands,South Africa,"Punjab Cricket Association Stadium, Mohali",Netherlands,field,231,0,South Africa
Colombo,03-03-2011,Canada,Pakistan,R Premadasa Stadium,Pakistan,bat,46,0,Pakistan
Bangalore,02-03-2011,England,Ireland,M Chinnaswamy Stadium,England,bat,0,3,Ireland
